Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),529,2066,2148,7.5,7.8
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),3,2347,2696,11.0,12.3
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),20,1906,1965,8.0,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),195,2067,2155,6.8,7.0
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),221,2104,2192,7.4,7.7
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),90,1997,2045,9.2,9.5
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),550,2017,2086,7.1,7.3
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),3,2566,2976,10.0,12.2
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),19,1700,1742,4.9,5.1
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),202,2005,2083,6.3,6.5
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),219,2123,2196,7.4,7.7
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),107,1868,1907,8.1,8.4
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),507,2159,2244,8.6,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),5,1905,1967,12.6,12.2
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),19,2201,2279,10.2,10.2
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),176,2196,2255,8.0,8.0
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),239,2087,2194,7.6,8.0
All Vehicles - StL All Vehicles Volume,Trip Start,1015,Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),68,2321,2406,12.6,13.0
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),438,2384,2422,16.2,16.3
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),7,2118,2118,14.6,14.5
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),24,1678,1717,8.7,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),139,2041,2094,12.2,12.5
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),168,2799,2817,19.0,19.1
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),100,2335,2399,18.6,19.0
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),666,2439,2480,16.8,17.0
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),7,2056,2057,14.9,14.7
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),35,1716,1757,9.2,9.3
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),194,2066,2125,12.5,12.9
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),264,2850,2869,19.5,19.5
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),166,2371,2437,19.0,19.4
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),62,1629,1699,8.8,9.0
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),5,1985,1985,13.2,13.2
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,1766,1766,8.3,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),33,1514,1641,5.7,6.4
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),13,1709,1709,10.2,10.2
All Vehicles - StL All Vehicles Volume,Trip Start,1029,Ensign College,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),10,1735,1756,15.4,15.0
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),111,1927,1980,8.6,8.7
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,2004,2310,6.3,8.6
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),7,1523,1554,5.9,5.9
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),41,1888,1948,6.9,7.0
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),40,2167,2212,10.3,10.5
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),22,1672,1716,9.5,9.4
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),146,1918,1956,8.7,8.8
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,2283,2283,6.7,6.7
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),9,1432,1448,5.2,5.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),56,1839,1896,6.9,7.0
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),55,2151,2170,10.3,10.4
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),25,1720,1770,10.7,10.6
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),42,1744,1844,7.7,8.3
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,1714,3545,6.4,19.2
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),2,2041,2041,12.1,12.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),10,1873,1869,7.2,7.1
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),14,1912,2090,8.6,9.9
All Vehicles - StL All Vehicles Volume,Trip Start,1085,SLCC Library Square,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),15,1480,1480,6.6,6.6
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1157,1851,1908,8.7,9.0
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),12,1539,1579,6.3,6.8
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),99,1622,1652,6.6,6.8
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),504,1886,1937,7.9,8.2
All Vehicles - StL All Vehicles Volume,Trip Start,1231,SLCC South City,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),298,2001,2100,10.1,10.6
