mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110122_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110100_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110274_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,37,11.922222222222222
All Vehicles - StL All Vehicles Sample Trip Counts,110196_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,16,5.1555555555555559
All Vehicles - StL All Vehicles Sample Trip Counts,570065_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,14,10.15
All Vehicles - StL All Vehicles Sample Trip Counts,110226_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,30,21.75
All Vehicles - StL All Vehicles Sample Trip Counts,110098_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110206_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110158_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,20,6.4444444444444446
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110204_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110183_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110176_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,19,6.1222222222222218
